epoch,acc,loss
0,0.976623006833713,0.02444431819997575
0,0.9784572879330944,0.020339249901237352
0,0.9858870967741935,0.0193865345108068
0,0.8919956140350878,0.016047015997556674
1,0.9944191343963553,0.018147858956951757
1,0.9974238351254481,0.01733129733662692
1,0.9996639784946236,0.017036804434054184
1,0.9991776315789473,0.014130932874793774
2,0.9999430523917996,0.0163773464062039
2,1.0,0.016189935616870703
2,1.0,0.016001772029720928
2,1.0,0.013977698364454371
3,1.0,0.01554056582510989
3,1.0,0.01517664308356802
3,1.0,0.014986171537662246
3,1.0,0.013277069639451312
4,1.0,0.014700590563696174
4,1.0,0.015165049900184524
4,1.0,0.015122790120040225
4,1.0,0.013026326774260062
5,1.0,0.014217281275787358
5,1.0,0.014507108094848597
5,1.0,0.01439706972770848
5,1.0,0.012510555814706573
6,1.0,0.013644868958726046
6,1.0,0.013884766845263734
6,1.0,0.013746369923814061
6,1.0,0.011989938249411225
7,1.0,0.01322981736928772
7,1.0,0.013524246771776495
7,1.0,0.013443925580308297
7,1.0,0.011590728758611684
8,1.0,0.012732029215028034
8,1.0,0.013096266973763983
8,1.0,0.012974532212295126
8,1.0,0.010978243602725694
9,1.0,0.012425730114360923
9,1.0,0.0125449052011021
9,1.0,0.012416759207162516
9,1.0,0.010294825554490416
10,1.0,0.012087035758165188
10,1.0,0.012302416685993394
10,1.0,0.01211299844794259
